Allele,reference
A01_01,1
A01_02,0
A01_03,0
A01_06,0
A01_07,0
A01_08,0
A01_09,0
A01_10,0
A01_12,0
A01_13,0
A01_14,0
A02_01,1
A02_02,1
A02_03,1
A02_04,1
A02_05,1
A02_06,1
A02_07,1
A02_08,0
A02_09,0
A02_10,0
A02_11,0
A02_12,0
A02_13,0
A02_14,1
A02_16,0
A02_17,1
A02_18,0
A02_19,0
A02_20,0
A02_21,0
A02_22,0
A02_24,0
A02_25,0
A02_26,0
A02_27,0
A02_28,0
A02_29,0
A02_30,0
A02_31,0
A02_33,0
A02_34,0
A02_35,0
A02_36,0
A02_37,0
A02_38,0
A02_39,0
A02_40,0
A02_41,0
A02_42,0
A02_44,0
A02_45,0
A02_46,0
A02_47,0
A02_48,0
A02_49,0
A02_50,0
A02_51,0
A02_52,0
A02_54,0
A02_55,0
A02_56,0
A02_57,0
A02_58,0
A02_59,0
A02_60,0
A02_61,0
A02_62,0
A02_63,0
A02_64,0
A02_65,0
A02_66,0
A02_67,0
A02_68,0
A02_69,0
A02_70,0
A02_71,0
A02_72,0
A02_73,0
A02_74,0
A02_75,0
A02_76,0
A02_77,0
A02_78,0
A02_79,0
A02_80,0
A02_81,0
A02_84,0
A02_85,0
A02_86,0
A03_01,1
A03_02,0
A03_04,0
A03_05,0
A03_06,0
A03_07,0
A03_08,0
A03_09,0
A03_10,0
A03_12,0
A03_13,0
A03_14,0
A03_15,0
A03_16,0
A03_17,0
A11_01,1
A11_02,0
A11_03,0
A11_04,0
A11_05,0
A11_06,0
A11_07,0
A11_08,0
A11_09,0
A11_10,0
A11_11,0
A11_12,0
A11_13,0
A11_14,0
A11_15,0
A11_16,0
A11_17,0
A11_18,0
A11_19,0
A11_20,0
A11_22,0
A11_23,0
A23_01,1
A23_02,0
A23_03,0
A23_04,0
A23_05,0
A23_06,0
A23_09,0
A23_10,0
A23_12,0
A24_02,1
A24_03,0
A24_04,0
A24_05,0
A24_06,0
A24_07,0
A24_08,0
A24_10,0
A24_13,0
A24_14,0
A24_15,0
A24_17,0
A24_18,0
A24_19,0
A24_20,0
A24_21,0
A24_22,0
A24_23,0
A24_24,0
A24_25,0
A24_26,0
A24_27,0
A24_28,0
A24_29,0
A24_30,0
A24_31,0
A24_32,0
A24_33,0
A24_34,0
A24_35,0
A24_37,0
A24_38,0
A24_39,0
A24_41,0
A24_42,0
A24_43,0
A24_44,0
A24_46,0
A24_47,0
A24_49,0
A24_50,0
A24_51,0
A24_52,0
A24_53,0
A25_01,0
A25_02,0
A25_03,0
A25_04,0
A26_01,1
A26_02,1
A26_03,1
A26_04,0
A26_05,0
A26_06,0
A26_07,0
A26_08,0
A26_09,0
A26_10,0
A26_12,0
A26_13,0
A26_14,0
A26_15,0
A26_16,0
A26_17,0
A26_18,0
A26_19,0
A26_20,0
A26_21,0
A26_22,0
A26_23,0
A26_24,0
A26_26,0
A29_01,0
A29_02,1
A29_03,0
A29_04,0
A29_05,0
A29_06,0
A29_07,0
A29_09,0
A29_10,0
A29_11,0
A29_12,0
A29_13,0
A29_14,0
A30_01,1
A30_02,1
A30_03,1
A30_04,1
A30_06,0
A30_07,0
A30_08,0
A30_09,0
A30_10,0
A30_11,0
A30_12,0
A30_13,0
A30_15,0
A31_01,1
A31_02,0
A31_03,0
A31_04,0
A31_05,0
A31_06,0
A31_07,0
A31_08,0
A31_09,0
A31_10,0
A31_11,0
A31_12,0
A32_01,1
A32_02,0
A32_03,0
A32_04,0
A32_05,0
A32_06,0
A32_07,0
A32_08,0
A32_09,0
A32_10,0
A33_01,1
A33_03,1
A33_04,0
A33_05,0
A33_06,0
A33_07,0
A33_08,0
A34_01,0
A34_02,0
A34_03,0
A34_04,0
A34_05,0
A34_06,0
A36_01,0
A36_02,0
A36_03,0
A36_04,0
A43_01,0
A66_01,1
A66_02,0
A66_03,0
A66_04,0
A68_01,1
A68_02,1
A68_03,0
A68_04,0
A68_05,0
A68_06,0
A68_07,0
A68_08,0
A68_09,0
A68_10,0
A68_12,0
A68_13,0
A68_14,0
A68_15,0
A68_16,0
A68_17,0
A68_19,0
A68_20,0
A68_21,0
A68_22,0
A68_23,0
A68_24,0
A68_25,0
A68_26,0
A68_27,0
A68_28,0
A69_01,1
A74_01,1
A74_02,0
A74_03,0
A74_04,0
A74_05,0
A74_06,0
A74_07,0
A74_08,0
A74_09,0
A74_10,0
A74_11,0
A80_01,0
